VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RateCodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,year,is_covid_rel
2,2011-08-03 12:05:00,2011-08-03 12:27:00,1.0,5.5,87,230,1.0,,credit_card,18.1,0.0,0.5,4.52,0.0,0.0,23.12,2011,False
2,2011-08-24 16:33:00,2011-08-24 16:38:00,5.0,1.42,228,228,1.0,,credit_card,5.3,1.0,0.5,3.0,0.0,0.0,9.8,2011,False
1,2011-08-23 13:34:03,2011-08-23 13:38:31,1.0,1.0,144,87,1.0,N,cash,4.9,0.0,0.5,0.0,0.0,0.0,5.4,2011,False
1,2011-08-03 19:24:41,2011-08-03 19:31:28,1.0,1.3,264,234,1.0,N,credit_card,6.1,1.0,0.5,2.3,0.0,0.0,9.9,2011,False
2,2011-08-07 20:48:00,2011-08-07 21:02:00,5.0,3.65,22,11,1.0,,credit_card,11.7,0.5,0.5,3.0,0.0,0.0,15.7,2011,False
2,2011-08-08 18:03:00,2011-08-08 18:09:00,5.0,1.26,158,234,1.0,,credit_card,5.3,1.0,0.5,2.0,0.0,0.0,8.8,2011,False
2,2011-08-18 11:19:00,2011-08-18 11:40:00,1.0,2.06,186,162,1.0,,cash,11.7,0.0,0.5,0.0,0.0,0.0,12.2,2011,False
1,2011-08-17 06:58:59,2011-08-17 07:05:38,1.0,1.5,186,163,1.0,N,cash,6.5,0.0,0.5,0.0,0.0,0.0,7.0,2011,False
1,2011-08-07 13:18:13,2011-08-07 13:29:41,1.0,1.6,161,50,1.0,N,cash,7.7,0.0,0.5,0.0,0.0,0.0,8.2,2011,False
2,2011-08-11 09:36:00,2011-08-11 09:59:00,1.0,5.21,186,88,1.0,,credit_card,16.5,0.0,0.5,2.0,0.0,0.0,19.0,2011,False
1,2011-09-10 10:19:06,2011-09-10 10:24:12,2.0,1.8,239,24,1.0,N,credit_card,6.1,0.0,0.5,1.32,0.0,0.0,7.92,2011,False
2,2011-09-17 12:42:00,2011-09-17 12:42:00,2.0,0.03,211,211,2.0,,cash,45.0,0.0,0.5,0.0,0.0,0.0,45.5,2011,False
2,2011-09-04 13:01:00,2011-09-04 13:17:00,5.0,1.57,186,233,1.0,,cash,9.7,0.0,0.5,0.0,0.0,0.0,10.2,2011,False
1,2011-09-14 16:49:10,2011-09-14 16:53:46,1.0,0.7,234,113,1.0,N,credit_card,4.9,1.0,0.5,1.28,0.0,0.0,7.68,2011,False
2,2011-09-25 12:02:00,2011-09-25 12:30:00,2.0,1.02,164,138,1.0,,cash,26.9,0.0,0.5,0.0,4.8,0.0,32.2,2011,False
1,2011-09-12 12:32:07,2011-09-12 12:50:39,2.0,2.3,211,164,1.0,N,cash,11.3,0.0,0.5,0.0,0.0,0.0,11.8,2011,False
